Test,Animal,Treatment,Code,Stage,Trial,Apparatus,Duration (s),Distance (m),Mean speed (m/s),Path efficiency,Q1 : time (s),Q1 : distance (m),Q2 : time (s),Q2 : distance (m),Q3 : time (s),Q3 : distance (m),Q4 : time (s),Q4 : distance (m),Platform : entries,Platform : latency to first entry (s),Platform : time getting closer to zone (s),Platform : path efficiency to entry,Platform : CIPL (m·s)
91,16,NSF,A,Spatial,3,Pool,2.0,0.785,0.392,0.914,0.0,0.000,0.0,0.000,1.2,0.490,0.8,0.295,1,2.0,1.6,0.786,0.12
92,16,NSF,A,Spatial,4,Pool,1.5,0.495,0.329,0.926,0.0,0.000,0.0,0.000,1.5,0.495,0.0,0.000,1,1.5,0.9,0.836,0.04
93,17,NSF,A,Spatial,3,Pool,26.7,8.297,0.311,0.054,0.5,0.180,2.8,0.731,15.0,4.606,8.3,2.780,1,26.7,15.4,0.043,10.24
94,17,NSF,A,Spatial,4,Pool,3.7,1.255,0.339,0.551,0.0,0.000,2.6,0.965,1.1,0.290,0.0,0.000,1,3.7,2.8,0.546,0.88
95,18,NSF,A,Spatial,3,Pool,20.1,6.244,0.310,0.153,6.5,1.813,0.0,0.000,4.6,1.346,9.0,3.086,1,20.1,10.8,0.151,11.78
96,18,NSF,A,Spatial,4,Pool,3.9,1.109,0.286,0.803,0.0,0.000,0.0,0.000,0.9,0.251,2.9,0.858,1,3.9,3.4,0.799,0.47
97,19,NSF,A,Spatial,3,Pool,6.7,2.292,0.343,0.547,1.3,0.403,0.0,0.000,3.5,1.096,1.9,0.792,1,6.7,5.2,0.499,1.19
98,19,NSF,A,Spatial,4,Pool,10.0,3.695,0.371,0.267,0.0,0.000,0.0,0.000,4.1,1.548,5.8,2.146,1,10.0,6.4,0.224,3.77
99,20,NSF,A,Spatial,3,Pool,6.7,2.292,0.345,0.370,0.0,0.000,1.8,0.542,4.8,1.750,0.0,0.000,1,6.6,4.9,0.348,1.57
100,20,NSF,A,Spatial,4,Pool,4.2,1.177,0.283,0.557,0.0,0.000,0.0,0.000,0.8,0.269,3.4,0.908,1,4.2,2.9,0.495,1.28
