Test,Animal,Treatment,Code,Stage,Trial,Apparatus,Duration (s),Distance (m),Mean speed (m/s),Path efficiency,Q1 : entries,Q1 : time (s),Q2 : entries,Q2 : time (s),Q3 : entries,Q3 : time (s),Q4 : entries,Q4 : time (s),Platform : entries,Platform : CIPL (m·s)
175,28,b,B,Spatial,5,Pool,60.0,17.279,0.288,0.055,3,9.1,2,4.7,3,10.1,4,36.1,0,41.27
176,28,b,B,Spatial,6,Pool,32.7,9.453,0.289,0.068,4,8.5,1,1.0,2,1.9,5,21.3,1,24.54
177,29,b,B,Spatial,5,Pool,10.3,3.963,0.386,0.089,0,0.0,1,3.2,4,6.5,2,0.5,1,3.45
178,29,b,B,Spatial,6,Pool,3.1,1.255,0.411,0.901,1,1.8,1,0.5,1,0.7,0,0.0,1,0.29
179,30,b,B,Spatial,5,Pool,1.6,0.425,0.270,0.952,0,0.0,0,0.0,1,1.6,0,0.0,1,0.03
180,30,b,B,Spatial,6,Pool,16.7,6.808,0.408,0.154,2,1.8,1,0.1,2,11.5,2,3.3,1,4.44
181,1,a,A,Spatial,7,Pool,60.0,18.591,0.310,0.059,6,15.6,3,7.7,4,11.6,6,25.1,0,39.17
182,1,a,A,Spatial,8,Pool,11.6,3.941,0.339,0.294,3,3.6,2,5.7,1,0.8,1,1.5,1,5.83
183,2,a,A,Spatial,7,Pool,1.4,0.327,0.242,0.967,0,0.0,0,0.0,1,1.3,0,0.0,1,0.05
184,2,a,A,Spatial,8,Pool,6.2,1.896,0.304,0.284,0,0.0,1,2.5,1,3.7,0,0.0,1,1.44
185,3,a,A,Spatial,7,Pool,7.0,1.757,0.250,0.303,0,0.0,0,0.0,2,3.2,2,3.8,1,1.39
186,3,a,A,Spatial,8,Pool,2.1,0.730,0.348,0.919,0,0.0,1,1.0,1,1.1,0,0.0,1,0.09
187,4,a,A,Spatial,7,Pool,27.6,8.644,0.313,0.095,2,7.6,4,12.1,3,6.1,1,1.9,1,15.29
188,4,a,A,Spatial,8,Pool,7.2,1.990,0.278,0.493,1,1.2,0,0.0,1,1.1,2,4.9,1,2.20
189,5,a,A,Spatial,7,Pool,35.1,9.494,0.270,0.076,1,2.8,1,0.4,4,7.4,5,24.5,1,17.07
190,5,a,A,Spatial,8,Pool,9.2,3.351,0.365,0.234,1,1.2,2,2.8,2,4.1,1,1.1,1,2.52
191,6,a,A,Spatial,7,Pool,5.0,1.725,0.343,0.601,0,0.0,0,0.0,1,2.1,1,2.9,1,1.62
192,6,a,A,Spatial,8,Pool,5.8,2.237,0.384,0.443,1,1.7,2,2.6,2,1.6,0,0.0,1,1.37
193,7,a,A,Spatial,7,Pool,23.6,6.164,0.261,0.143,2,8.1,3,12.4,2,2.8,1,0.3,1,15.07
194,7,a,A,Spatial,8,Pool,5.7,1.622,0.284,0.460,0,0.0,1,1.1,1,4.6,0,0.0,1,0.92
195,8,a,A,Spatial,7,Pool,9.9,3.104,0.314,0.305,2,4.4,0,0.0,1,3.0,3,2.5,1,4.35
196,8,a,A,Spatial,8,Pool,7.8,2.995,0.382,0.362,1,4.4,0,0.0,1,2.1,1,1.3,1,4.20
197,9,a,A,Spatial,7,Pool,7.9,3.131,0.396,0.137,0,0.0,2,0.9,2,7.0,0,0.0,1,1.92
198,9,a,A,Spatial,8,Pool,2.9,1.196,0.406,0.776,0,0.0,0,0.0,1,1.1,1,1.9,1,0.48
199,10,a,A,Spatial,7,Pool,21.5,7.324,0.341,0.150,3,5.9,2,6.5,1,5.2,1,3.9,1,12.42
200,10,a,A,Spatial,8,Pool,41.1,13.423,0.327,0.032,2,8.5,1,2.7,3,5.5,4,24.4,1,27.40
201,11,a,A,Spatial,7,Pool,7.5,2.145,0.285,0.498,2,2.7,2,3.9,1,0.9,0,0.0,1,3.79
202,11,a,A,Spatial,8,Pool,2.0,0.719,0.359,0.952,0,0.0,0,0.0,1,0.8,1,1.2,1,0.09
203,12,a,A,Spatial,7,Pool,5.9,1.741,0.295,0.627,1,0.9,0,0.0,1,0.9,2,4.0,1,2.24
204,12,a,A,Spatial,8,Pool,3.4,1.277,0.378,0.705,0,0.0,1,2.4,1,0.9,0,0.0,1,0.70
