Test,Animal,Treatment,Code,Stage,Trial,Apparatus,Date,Duration (s),Distance (m),Mean speed (m/s),Path efficiency,Q1 : entries,Q1 : time (s),Q1 : distance (m),Q2 : entries,Q2 : time (s),Q2 : distance (m),Q3 : entries,Q3 : time (s),Q3 : distance (m),Q4 : entries,Q4 : time (s),Q4 : distance (m),Platform : entries,Platform : time (s),Platform : distance (m),Platform : CIPL (m·s),Platform entry : number
281,11,A,A,Spatial,11,Pool,8/29/2023,14.2,4.610,0.324,0.127,2,9.8,3.380,1,2.0,0.667,0,0.0,0.000,1,2.4,0.563,1,0.0,0.000,4.14,1
282,11,A,A,Spatial,12,Pool,8/29/2023,3.1,1.039,0.334,0.916,1,1.1,0.310,1,2.0,0.729,0,0.0,0.000,0,0.0,0.000,1,0.0,0.000,0.20,1
283,12,A,A,Spatial,11,Pool,8/29/2023,8.2,2.168,0.264,0.414,1,0.9,0.245,1,7.3,1.923,0,0.0,0.000,0,0.0,0.000,1,0.0,0.000,2.91,1
284,12,A,A,Spatial,12,Pool,8/29/2023,11.1,3.520,0.318,0.259,2,8.2,2.568,1,0.4,0.092,0,0.0,0.000,1,2.5,0.860,1,0.0,0.000,2.72,1
285,13,A,A,Spatial,11,Pool,8/29/2023,11.5,4.220,0.368,0.267,2,6.1,2.295,2,5.3,1.925,0,0.0,0.000,0,0.0,0.000,1,0.0,0.000,3.21,1
286,13,A,A,Spatial,12,Pool,8/29/2023,10.2,3.810,0.373,0.216,3,6.3,2.475,1,0.5,0.140,1,1.3,0.489,1,2.1,0.706,1,0.0,0.000,2.85,1
287,14,A,A,Spatial,11,Pool,8/29/2023,10.5,3.254,0.309,0.342,2,4.5,1.213,0,0.0,0.000,1,1.8,0.620,2,4.1,1.422,1,0.0,0.000,2.71,1
288,14,A,A,Spatial,12,Pool,8/29/2023,16.8,4.938,0.293,0.165,5,5.0,1.405,3,9.2,2.578,0,0.0,0.000,2,2.6,0.954,1,0.0,0.000,5.65,1
289,15,A,A,Spatial,11,Pool,8/29/2023,24.2,7.772,0.322,0.034,3,12.8,3.799,1,4.1,1.247,1,3.3,1.266,2,3.9,1.460,1,0.0,0.000,13.69,1
290,15,A,A,Spatial,12,Pool,8/29/2023,8.6,3.142,0.367,0.378,2,3.7,1.278,1,0.5,0.199,1,2.8,1.059,1,1.5,0.606,1,0.0,0.000,2.54,1
291,16,A,A,Spatial,11,Pool,8/29/2023,32.8,11.920,0.363,0.101,4,7.4,2.543,3,5.1,1.975,3,10.8,3.650,3,9.4,3.753,1,0.0,0.000,21.70,1
292,16,A,A,Spatial,12,Pool,8/29/2023,1.3,0.234,0.184,0.943,1,1.2,0.234,0,0.0,0.000,0,0.0,0.000,0,0.0,0.000,1,0.0,0.000,0.03,1
293,17,A,A,Spatial,11,Pool,8/29/2023,11.2,4.139,0.369,0.161,3,5.3,2.146,2,2.5,0.675,1,0.0,0.000,2,3.3,1.317,1,0.0,0.000,3.27,1
294,17,A,A,Spatial,12,Pool,8/29/2023,5.3,1.886,0.353,0.657,1,1.5,0.429,1,2.4,0.984,1,1.5,0.473,0,0.0,0.000,1,0.0,0.000,1.70,1
295,18,A,A,Spatial,11,Pool,8/29/2023,7.5,2.432,0.322,0.448,1,1.3,0.343,1,2.4,0.871,1,3.8,1.218,0,0.0,0.000,1,0.0,0.000,4.14,1
296,18,A,A,Spatial,12,Pool,8/29/2023,19.8,7.238,0.365,0.127,3,5.2,1.560,2,2.5,0.806,2,3.5,1.435,3,8.6,3.437,1,0.0,0.000,10.63,1
297,19,A,A,Spatial,11,Pool,8/29/2023,60.0,18.044,0.301,0.069,4,19.2,5.301,4,12.8,4.254,4,11.4,3.410,4,16.7,5.079,0,0.0,0.000,38.96,0
298,19,A,A,Spatial,12,Pool,8/29/2023,60.0,16.519,0.275,0.045,5,16.8,4.706,4,11.3,3.281,3,13.7,3.526,4,18.2,5.007,0,0.0,0.000,42.82,0
299,20,A,A,Spatial,11,Pool,8/29/2023,21.5,5.136,0.239,0.174,3,3.5,0.778,1,0.3,0.095,1,9.2,1.950,3,8.6,2.313,1,0.0,0.000,14.49,1
300,20,A,A,Spatial,12,Pool,8/29/2023,10.6,2.818,0.267,0.421,2,4.1,0.970,1,3.1,0.925,0,0.0,0.000,1,3.3,0.924,1,0.0,0.000,2.83,1
301,21,A,A,Spatial,11,Pool,8/29/2023,60.0,15.861,0.264,0.059,3,19.1,4.775,3,10.0,2.554,4,19.7,4.807,4,11.3,3.726,0,0.0,0.000,41.24,0
302,21,A,A,Spatial,12,Pool,8/29/2023,51.0,12.936,0.253,0.083,4,7.1,1.259,4,24.8,5.859,3,10.1,2.924,3,9.0,2.894,1,0.0,0.000,32.56,1
303,22,A,A,Spatial,11,Pool,8/29/2023,60.0,16.055,0.268,0.094,3,14.4,4.391,7,17.2,4.225,6,13.5,3.209,3,14.8,4.230,0,0.0,0.000,42.97,0
304,22,A,A,Spatial,12,Pool,8/29/2023,60.0,16.455,0.274,0.092,4,20.3,5.431,4,17.6,4.507,3,12.7,3.408,4,9.4,3.108,0,0.0,0.000,40.20,0
305,23,A,A,Spatial,11,Pool,8/29/2023,18.1,6.620,0.367,0.116,2,4.5,1.591,1,0.9,0.371,2,5.5,1.897,3,7.1,2.762,1,0.0,0.000,10.97,1
306,23,A,A,Spatial,12,Pool,8/29/2023,23.1,8.029,0.348,0.071,2,6.1,1.807,2,4.1,1.569,2,3.5,1.403,2,9.3,3.250,1,0.0,0.000,14.91,1
307,24,A,A,Spatial,11,Pool,8/29/2023,4.2,1.432,0.340,0.845,1,1.3,0.376,0,0.0,0.000,1,0.5,0.043,1,2.4,1.013,1,0.0,0.000,0.35,1
308,24,A,A,Spatial,12,Pool,8/29/2023,1.7,0.318,0.184,0.982,1,1.7,0.318,0,0.0,0.000,0,0.0,0.000,0,0.0,0.000,1,0.0,0.000,-0.02,1
309,25,A,A,Spatial,11,Pool,8/29/2023,9.7,3.419,0.354,0.176,2,4.7,1.681,1,2.3,0.716,0,0.0,0.000,1,2.7,1.022,1,0.0,0.000,3.66,1
310,25,A,A,Spatial,12,Pool,8/29/2023,19.2,6.498,0.339,0.153,2,4.9,1.614,3,10.9,3.778,3,3.2,1.039,1,0.2,0.067,1,0.0,0.000,9.40,1
311,26,A,A,Spatial,11,Pool,8/29/2023,60.0,18.352,0.306,0.054,5,14.7,4.628,4,7.5,2.206,5,22.7,6.257,6,15.2,5.260,0,0.0,0.000,44.31,0
312,26,A,A,Spatial,12,Pool,8/29/2023,14.5,3.619,0.249,0.252,2,8.0,1.520,2,1.6,0.560,1,2.9,0.933,1,2.0,0.606,1,0.0,0.000,5.43,1
313,1,A,A,Spatial,13,Pool,8/30/2023,10.2,3.185,0.311,0.287,1,2.5,0.609,1,1.6,0.458,1,3.3,1.049,1,2.8,1.070,1,0.0,0.000,5.89,1
314,1,A,A,Spatial,14,Pool,8/30/2023,9.6,3.216,0.336,0.370,1,2.7,0.752,0,0.0,0.000,1,4.8,1.650,1,2.1,0.815,1,0.0,0.000,4.32,1
315,2,A,A,Spatial,13,Pool,8/30/2023,8.8,2.364,0.269,0.518,1,2.5,0.692,1,2.9,1.134,1,3.3,0.539,0,0.0,0.000,1,0.0,0.000,4.13,1
316,2,A,A,Spatial,14,Pool,8/30/2023,19.0,6.599,0.347,0.096,3,6.9,2.325,4,6.6,2.411,2,3.6,1.124,1,1.9,0.740,1,0.0,0.000,8.47,1
317,3,A,A,Spatial,13,Pool,8/30/2023,7.4,2.565,0.349,0.288,1,0.9,0.316,1,0.3,0.104,1,2.8,1.025,1,3.3,1.120,1,0.0,0.000,4.97,1
318,3,A,A,Spatial,14,Pool,8/30/2023,25.1,8.949,0.356,0.037,4,10.0,3.635,1,2.1,0.634,2,2.8,0.990,3,10.1,3.690,1,0.0,0.000,13.44,1
319,4,A,A,Spatial,13,Pool,8/30/2023,8.9,2.765,0.309,0.305,2,4.7,1.502,1,1.5,0.413,0,0.0,0.000,1,2.8,0.849,1,0.0,0.000,2.89,1
320,4,A,A,Spatial,14,Pool,8/30/2023,6.4,2.185,0.340,0.612,1,1.9,0.505,1,2.9,1.137,1,1.6,0.543,0,0.0,0.000,1,0.0,0.000,2.20,1
321,5,A,A,Spatial,13,Pool,8/30/2023,9.1,2.551,0.280,0.221,2,4.1,1.398,2,4.9,1.152,0,0.0,0.000,0,0.0,0.000,1,0.0,0.000,3.36,1
322,5,A,A,Spatial,14,Pool,8/30/2023,15.9,5.956,0.375,0.160,2,7.7,2.437,1,0.3,0.106,2,4.4,1.793,2,3.5,1.620,1,0.0,0.000,7.17,1
323,6,A,A,Spatial,13,Pool,8/30/2023,20.9,6.434,0.308,0.206,2,7.3,2.219,1,3.3,1.197,2,5.7,1.537,2,4.5,1.481,1,0.0,0.000,10.40,1
324,6,A,A,Spatial,14,Pool,8/30/2023,20.6,6.314,0.307,0.112,3,13.2,3.967,1,4.7,1.523,0,0.0,0.000,2,2.7,0.824,1,0.0,0.000,7.82,1
325,7,A,A,Spatial,13,Pool,8/30/2023,44.1,16.757,0.380,0.058,4,17.8,6.230,4,9.7,3.476,4,8.1,3.433,4,8.4,3.618,1,0.0,0.000,24.90,1
326,7,A,A,Spatial,14,Pool,8/30/2023,3.4,1.141,0.338,0.922,1,1.1,0.293,0,0.0,0.000,0,0.0,0.000,1,2.3,0.848,1,0.0,0.000,0.14,1
327,8,A,A,Spatial,13,Pool,8/30/2023,16.8,5.458,0.325,0.142,2,6.1,1.852,1,1.1,0.383,1,2.5,1.019,2,7.0,2.204,1,0.0,0.000,8.46,1
328,8,A,A,Spatial,14,Pool,8/30/2023,9.2,3.179,0.347,0.203,1,2.0,0.610,1,2.1,0.770,1,1.9,0.661,1,3.2,1.138,1,0.0,0.000,4.57,1
329,9,A,A,Spatial,13,Pool,8/30/2023,1.6,0.440,0.271,0.993,1,1.0,0.345,1,0.6,0.095,0,0.0,0.000,0,0.0,0.000,1,0.0,0.000,0.05,1
330,9,A,A,Spatial,14,Pool,8/30/2023,11.9,4.362,0.368,0.275,1,1.1,0.307,1,1.1,0.452,2,4.6,1.786,1,5.1,1.817,1,0.0,0.000,7.10,1
331,10,A,A,Spatial,13,Pool,8/30/2023,58.8,16.888,0.287,0.075,6,27.4,7.673,6,16.7,4.957,3,10.1,2.905,2,4.5,1.353,1,0.0,0.000,31.40,1
332,10,A,A,Spatial,14,Pool,8/30/2023,6.4,1.792,0.281,0.639,1,1.1,0.218,1,2.8,0.883,1,2.5,0.691,0,0.0,0.000,1,0.0,0.000,2.43,1
333,11,A,A,Spatial,13,Pool,8/30/2023,60.0,20.915,0.349,0.029,7,20.0,6.615,3,10.2,3.513,4,11.0,4.137,8,18.8,6.650,0,0.0,0.000,36.39,0
334,11,A,A,Spatial,14,Pool,8/30/2023,25.5,8.827,0.347,0.096,3,11.1,3.682,2,4.3,1.522,2,5.9,1.982,3,4.3,1.641,1,0.0,0.000,12.60,1
335,12,A,A,Spatial,13,Pool,8/30/2023,13.7,4.133,0.301,0.218,1,4.8,1.330,1,3.7,1.104,1,2.0,0.865,1,3.2,0.834,1,0.0,0.000,6.72,1
336,12,A,A,Spatial,14,Pool,8/30/2023,21.5,6.373,0.296,0.147,3,12.8,3.838,2,8.0,2.357,0,0.0,0.000,1,0.7,0.177,1,0.0,0.000,7.34,1
337,13,A,A,Spatial,13,Pool,8/30/2023,21.5,8.704,0.406,0.134,3,6.3,2.489,2,5.1,2.095,2,5.9,2.349,2,4.3,1.771,1,0.0,0.000,12.87,1
338,13,A,A,Spatial,14,Pool,8/30/2023,7.9,2.893,0.368,0.294,2,2.3,0.735,2,3.7,1.494,1,1.1,0.400,1,0.8,0.264,1,0.0,0.000,2.57,1
339,14,A,A,Spatial,13,Pool,8/30/2023,32.6,10.384,0.318,0.112,3,7.9,2.259,1,2.7,1.047,3,9.7,3.116,4,12.4,3.961,1,0.0,0.000,17.76,1
340,14,A,A,Spatial,14,Pool,8/30/2023,4.0,1.039,0.262,0.669,1,2.8,0.721,0,0.0,0.000,0,0.0,0.000,1,1.2,0.317,1,0.0,0.000,0.34,1
341,15,A,A,Spatial,13,Pool,8/30/2023,8.9,1.585,0.178,0.667,1,0.5,0.222,0,0.0,0.000,0,0.0,0.000,1,8.3,1.363,1,0.0,0.000,3.64,1
342,15,A,A,Spatial,14,Pool,8/30/2023,12.6,4.722,0.376,0.244,2,6.4,2.226,1,2.3,0.934,1,1.6,0.643,2,2.3,0.919,1,0.0,0.000,3.87,1
343,16,A,A,Spatial,13,Pool,8/30/2023,18.5,7.093,0.384,0.139,2,4.5,1.659,2,3.7,1.424,2,4.1,1.764,2,6.1,2.247,1,0.0,0.000,11.11,1
344,16,A,A,Spatial,14,Pool,8/30/2023,9.9,3.274,0.330,0.286,1,1.2,0.360,1,0.5,0.055,2,6.4,2.432,2,1.9,0.428,1,0.0,0.000,5.83,1
345,17,A,A,Spatial,13,Pool,8/30/2023,19.4,5.788,0.299,0.140,1,1.1,0.300,2,9.6,2.468,3,5.2,2.009,2,3.5,1.012,1,0.0,0.000,14.04,1
346,17,A,A,Spatial,14,Pool,8/30/2023,2.7,1.004,0.368,0.977,1,0.9,0.278,1,1.8,0.726,0,0.0,0.000,0,0.0,0.000,1,0.0,0.000,0.05,1
347,18,A,A,Spatial,13,Pool,8/30/2023,38.5,13.960,0.362,0.039,5,16.4,5.608,2,5.1,1.957,2,6.9,2.505,4,10.1,3.890,1,0.0,0.000,22.34,1
348,18,A,A,Spatial,14,Pool,8/30/2023,30.3,10.629,0.351,0.062,3,7.7,2.340,2,1.2,0.460,3,8.1,3.089,4,13.3,4.740,1,0.0,0.000,19.80,1
349,19,A,A,Spatial,13,Pool,8/30/2023,60.0,16.911,0.282,0.014,4,17.7,4.332,4,17.1,4.371,3,10.2,3.599,4,15.0,4.609,0,0.0,0.000,40.72,0
350,19,A,A,Spatial,14,Pool,8/30/2023,29.7,7.531,0.253,0.093,4,10.4,2.645,4,12.6,2.942,2,3.2,0.988,2,3.6,0.956,1,0.0,0.000,13.52,1
351,20,A,A,Spatial,13,Pool,8/30/2023,60.0,17.106,0.285,0.023,3,12.3,3.830,4,17.6,3.847,5,19.7,5.778,4,10.5,3.651,0,0.0,0.000,45.38,0
352,20,A,A,Spatial,14,Pool,8/30/2023,6.1,1.452,0.240,0.632,1,1.5,0.282,1,2.9,0.933,1,1.6,0.237,0,0.0,0.000,1,0.0,0.000,1.90,1
353,21,A,A,Spatial,13,Pool,8/30/2023,60.0,16.162,0.269,0.103,3,10.5,3.336,4,14.5,4.778,4,27.5,5.295,2,7.5,2.753,0,0.0,0.000,50.93,0
354,21,A,A,Spatial,14,Pool,8/30/2023,33.8,7.031,0.208,0.095,1,1.6,0.492,1,4.3,1.195,2,7.5,1.507,2,20.4,3.837,1,0.0,0.000,27.73,1
355,22,A,A,Spatial,13,Pool,8/30/2023,60.0,16.288,0.271,0.070,3,14.3,4.159,4,16.4,3.407,4,17.3,4.648,3,12.0,4.073,0,0.0,0.000,46.85,0
356,22,A,A,Spatial,14,Pool,8/30/2023,60.0,16.761,0.279,0.061,5,21.3,6.606,4,21.9,5.394,2,8.8,2.503,3,8.0,2.257,0,0.0,0.000,37.32,0
357,23,A,A,Spatial,13,Pool,8/30/2023,38.1,10.982,0.289,0.067,4,9.4,2.636,1,2.5,0.856,1,5.6,1.256,4,20.5,6.233,1,0.0,0.000,22.89,1
358,23,A,A,Spatial,14,Pool,8/30/2023,19.7,6.222,0.317,0.090,2,3.2,0.874,2,4.2,1.205,2,8.3,2.678,2,4.0,1.466,1,0.0,0.000,11.82,1
359,24,A,A,Spatial,13,Pool,8/30/2023,12.5,3.444,0.275,0.254,1,1.6,0.418,1,1.7,0.542,1,5.6,1.449,1,3.6,1.036,1,0.0,0.000,8.81,1
360,24,A,A,Spatial,14,Pool,8/30/2023,15.1,4.947,0.328,0.203,2,7.5,2.400,1,0.4,0.141,1,0.3,0.077,2,6.9,2.329,1,0.0,0.000,4.38,1
361,25,A,A,Spatial,13,Pool,8/30/2023,10.7,3.292,0.307,0.204,1,3.7,1.160,0,0.0,0.000,1,0.3,0.000,2,6.7,2.132,1,0.0,0.000,5.93,1
362,25,A,A,Spatial,14,Pool,8/30/2023,11.4,4.016,0.352,0.313,2,3.3,1.177,0,0.0,0.000,1,1.5,0.555,2,6.5,2.283,1,0.0,0.000,4.44,1
363,26,A,A,Spatial,13,Pool,8/30/2023,60.0,18.778,0.313,0.082,4,12.5,4.456,3,6.0,1.831,6,20.2,5.377,6,21.3,7.114,0,0.0,0.000,48.67,0
364,26,A,A,Spatial,14,Pool,8/30/2023,16.7,5.192,0.312,0.189,2,9.1,2.792,1,0.7,0.296,1,1.9,0.905,2,5.0,1.199,1,0.0,0.000,7.40,1
365,1,A,A,Spatial,15,Pool,8/30/2023,4.9,1.459,0.299,0.775,1,2.3,0.543,0,0.0,0.000,0,0.0,0.000,1,2.6,0.916,1,0.0,0.000,0.49,1
366,1,A,A,Spatial,16,Pool,8/30/2023,16.5,5.476,0.333,0.203,3,6.1,2.065,1,2.5,0.761,1,2.0,0.714,2,5.7,1.936,1,0.0,0.000,4.99,1
367,2,A,A,Spatial,15,Pool,8/30/2023,26.2,8.694,0.332,0.087,4,7.2,2.173,2,2.9,1.110,2,5.2,2.031,4,10.9,3.380,1,0.0,0.000,14.65,1
368,2,A,A,Spatial,16,Pool,8/30/2023,3.1,1.024,0.329,0.889,1,0.9,0.231,1,2.2,0.793,0,0.0,0.000,0,0.0,0.000,1,0.0,0.000,0.22,1
369,3,A,A,Spatial,15,Pool,8/30/2023,60.0,19.677,0.328,0.061,6,15.5,5.214,3,4.5,1.490,3,7.8,2.550,6,32.2,10.423,0,0.0,0.000,38.97,0
370,3,A,A,Spatial,16,Pool,8/30/2023,6.1,1.709,0.280,0.442,1,4.7,1.299,1,1.4,0.410,0,0.0,0.000,0,0.0,0.000,1,0.0,0.000,0.87,1
371,4,A,A,Spatial,15,Pool,8/30/2023,23.7,6.621,0.279,0.118,3,16.3,4.463,1,0.7,0.180,0,0.0,0.000,2,6.8,1.978,1,0.0,0.000,6.99,1
372,4,A,A,Spatial,16,Pool,8/30/2023,5.3,1.342,0.254,0.402,1,5.3,1.342,0,0.0,0.000,0,0.0,0.000,0,0.0,0.000,1,0.0,0.000,1.00,1
373,5,A,A,Spatial,15,Pool,8/30/2023,15.9,4.832,0.303,0.131,3,12.3,3.780,1,2.6,0.736,0,0.0,0.000,2,1.0,0.316,1,0.0,0.000,4.28,1
374,5,A,A,Spatial,16,Pool,8/30/2023,15.7,5.775,0.368,0.117,2,7.6,2.448,2,3.2,1.070,1,2.7,1.184,1,2.3,1.074,1,0.0,0.000,6.96,1
375,6,A,A,Spatial,15,Pool,8/30/2023,7.8,2.301,0.296,0.286,1,3.1,0.858,1,4.7,1.443,0,0.0,0.000,0,0.0,0.000,1,0.0,0.000,3.12,1
376,6,A,A,Spatial,16,Pool,8/30/2023,4.4,1.107,0.250,0.644,1,3.2,0.778,0,0.0,0.000,0,0.0,0.000,1,1.2,0.328,1,0.0,0.000,0.37,1
377,7,A,A,Spatial,15,Pool,8/30/2023,6.5,2.265,0.349,0.427,2,3.7,1.283,1,0.9,0.296,1,0.7,0.199,1,1.1,0.486,1,0.0,0.000,0.86,1
378,7,A,A,Spatial,16,Pool,8/30/2023,6.2,2.341,0.377,0.474,1,4.2,1.569,0,0.0,0.000,1,1.8,0.687,1,0.2,0.085,1,0.0,0.000,0.97,1
379,8,A,A,Spatial,15,Pool,8/30/2023,18.7,6.137,0.328,0.161,3,5.3,1.768,1,2.7,0.739,1,3.1,0.973,2,7.6,2.658,1,0.0,0.000,9.08,1
380,8,A,A,Spatial,16,Pool,8/30/2023,5.2,1.707,0.329,0.419,1,1.3,0.412,0,0.0,0.000,0,0.0,0.000,1,3.8,1.295,1,0.0,0.000,2.38,1
381,9,A,A,Spatial,15,Pool,8/30/2023,7.8,2.436,0.311,0.377,2,3.2,1.028,2,4.6,1.408,0,0.0,0.000,0,0.0,0.000,1,0.0,0.000,2.05,1
382,9,A,A,Spatial,16,Pool,8/30/2023,16.0,5.636,0.353,0.171,2,8.3,2.904,2,4.5,1.617,1,0.5,0.245,1,2.6,0.870,1,0.0,0.000,6.91,1
383,10,A,A,Spatial,15,Pool,8/30/2023,9.6,2.329,0.243,0.203,2,7.7,2.018,1,1.9,0.311,0,0.0,0.000,0,0.0,0.000,1,0.0,0.000,2.23,1
384,10,A,A,Spatial,16,Pool,8/30/2023,9.9,3.161,0.319,0.201,2,3.7,1.161,2,6.2,2.000,0,0.0,0.000,0,0.0,0.000,1,0.0,0.000,3.58,1
385,11,A,A,Spatial,15,Pool,8/30/2023,5.1,1.238,0.245,0.638,1,1.5,0.361,1,3.6,0.877,0,0.0,0.000,0,0.0,0.000,1,0.0,0.000,1.30,1
386,11,A,A,Spatial,16,Pool,8/30/2023,11.9,4.142,0.347,0.285,2,4.8,1.787,2,4.6,1.605,1,1.6,0.377,1,0.9,0.372,1,0.0,0.000,3.78,1
387,12,A,A,Spatial,15,Pool,8/30/2023,5.1,1.856,0.362,0.640,1,1.5,0.425,1,2.4,0.960,1,1.2,0.471,0,0.0,0.000,1,0.0,0.000,1.07,1
388,12,A,A,Spatial,16,Pool,8/30/2023,6.7,2.261,0.338,0.324,1,5.6,1.951,0,0.0,0.000,0,0.0,0.000,1,1.1,0.310,1,0.0,0.000,1.45,1
389,13,A,A,Spatial,15,Pool,8/30/2023,10.0,4.162,0.417,0.119,2,2.4,0.825,2,3.2,1.335,1,3.5,1.534,1,0.9,0.469,1,0.0,0.000,6.15,1
390,13,A,A,Spatial,16,Pool,8/30/2023,8.9,3.466,0.388,0.332,1,4.1,1.396,1,2.3,1.018,1,2.5,1.052,0,0.0,0.000,1,0.0,0.000,3.70,1
391,14,A,A,Spatial,15,Pool,8/30/2023,1.8,0.481,0.273,0.903,1,1.0,0.323,0,0.0,0.000,0,0.0,0.000,1,0.7,0.158,1,0.0,0.000,0.08,1
392,14,A,A,Spatial,16,Pool,8/30/2023,17.4,5.308,0.305,0.088,4,10.0,3.061,2,5.3,1.648,0,0.0,0.000,1,2.0,0.598,1,0.0,0.000,4.89,1
393,15,A,A,Spatial,15,Pool,8/30/2023,32.9,10.575,0.322,0.117,3,10.6,3.288,4,13.1,4.144,3,8.7,2.989,1,0.5,0.154,1,0.0,0.000,15.37,1
394,15,A,A,Spatial,16,Pool,8/30/2023,5.3,1.891,0.357,0.626,1,1.7,0.586,1,3.1,1.248,1,0.5,0.056,0,0.0,0.000,1,0.0,0.000,1.72,1
395,16,A,A,Spatial,15,Pool,8/30/2023,1.3,0.262,0.196,0.983,1,1.3,0.262,0,0.0,0.000,0,0.0,0.000,0,0.0,0.000,1,0.0,0.000,0.01,1
396,16,A,A,Spatial,16,Pool,8/30/2023,12.0,3.640,0.304,0.214,2,7.8,2.133,0,0.0,0.000,0,0.0,0.000,2,4.2,1.507,1,0.0,0.000,3.32,1
397,17,A,A,Spatial,15,Pool,8/30/2023,16.9,6.082,0.360,0.199,3,8.8,3.062,3,6.0,2.212,1,2.1,0.807,0,0.0,0.000,1,0.0,0.000,5.09,1
398,17,A,A,Spatial,16,Pool,8/30/2023,4.8,1.666,0.345,0.660,1,1.1,0.314,1,2.5,1.068,1,1.2,0.284,0,0.0,0.000,1,0.0,0.000,1.59,1
399,18,A,A,Spatial,15,Pool,8/30/2023,28.5,9.833,0.345,0.134,3,10.8,3.244,3,5.0,1.913,3,7.5,2.710,2,5.2,1.965,1,0.0,0.000,14.52,1
400,18,A,A,Spatial,16,Pool,8/30/2023,60.0,18.710,0.312,0.076,6,18.7,5.314,3,6.3,2.245,3,15.3,3.859,6,19.7,7.293,0,0.0,0.000,40.46,0
401,19,A,A,Spatial,15,Pool,8/30/2023,12.7,4.193,0.330,0.193,2,6.0,1.890,1,5.3,1.800,0,0.0,0.000,1,1.4,0.504,1,0.0,0.000,4.11,1
402,19,A,A,Spatial,16,Pool,8/30/2023,5.5,1.536,0.280,0.683,1,1.7,0.466,1,3.7,1.069,0,0.0,0.000,0,0.0,0.000,1,0.0,0.000,1.31,1
403,20,A,A,Spatial,15,Pool,8/30/2023,8.9,3.058,0.345,0.227,2,1.9,0.570,1,3.2,1.119,1,1.6,0.661,2,2.1,0.707,1,0.0,0.000,4.25,1
404,20,A,A,Spatial,16,Pool,8/30/2023,13.9,4.393,0.316,0.246,2,4.1,1.347,2,4.2,1.550,2,5.1,1.339,1,0.4,0.157,1,0.0,0.000,6.66,1
405,21,A,A,Spatial,15,Pool,8/30/2023,60.0,16.552,0.276,0.041,6,17.6,4.812,3,8.8,2.584,2,8.1,2.635,5,25.5,6.521,0,0.0,0.000,40.29,0
406,21,A,A,Spatial,16,Pool,8/30/2023,18.3,4.697,0.257,0.256,1,5.7,1.011,1,5.9,1.490,2,4.5,1.411,1,2.1,0.785,1,0.0,0.000,8.86,1
407,22,A,A,Spatial,15,Pool,8/30/2023,36.3,10.683,0.295,0.051,3,9.2,2.844,1,4.1,1.202,2,11.3,2.918,3,11.6,3.720,1,0.0,0.000,29.14,1
408,22,A,A,Spatial,16,Pool,8/30/2023,38.0,10.604,0.279,0.091,3,9.5,2.588,2,11.5,3.181,2,8.5,2.326,3,8.6,2.509,1,0.0,0.000,26.30,1
409,23,A,A,Spatial,15,Pool,8/30/2023,18.7,6.116,0.327,0.132,3,4.8,1.328,1,0.8,0.236,1,4.0,1.217,3,9.1,3.335,1,0.0,0.000,9.73,1
410,23,A,A,Spatial,16,Pool,8/30/2023,60.0,17.048,0.284,0.039,5,9.7,2.618,2,11.3,2.833,4,8.5,2.752,7,30.4,8.845,0,0.0,0.000,35.99,0
411,24,A,A,Spatial,15,Pool,8/30/2023,60.0,18.356,0.306,0.035,5,6.0,1.695,6,9.2,2.878,8,19.6,5.768,6,25.2,8.015,0,0.0,0.000,41.38,0
412,24,A,A,Spatial,16,Pool,8/30/2023,60.0,18.181,0.303,0.081,5,17.6,5.236,8,24.5,7.522,5,15.2,4.454,1,2.7,0.969,0,0.0,0.000,31.89,0
413,25,A,A,Spatial,15,Pool,8/30/2023,60.0,20.458,0.341,0.068,7,20.7,6.826,8,22.1,7.929,5,12.7,4.114,3,4.5,1.590,0,0.0,0.000,30.90,0
414,25,A,A,Spatial,16,Pool,8/30/2023,10.4,3.405,0.326,0.195,1,2.0,0.752,0,0.0,0.000,0,0.0,0.000,1,8.4,2.653,1,0.0,0.000,5.43,1
415,26,A,A,Spatial,15,Pool,8/30/2023,7.2,2.896,0.400,0.353,1,0.9,0.254,1,1.3,0.353,1,2.7,1.276,1,2.3,1.013,1,0.0,0.000,4.90,1
416,26,A,A,Spatial,16,Pool,8/30/2023,60.0,21.021,0.350,0.038,4,15.0,5.482,4,10.0,3.802,4,15.5,5.141,4,19.6,6.596,0,0.0,0.000,39.89,0
417,1,A,A,Spatial,17,Pool,8/30/2023,8.1,2.092,0.260,0.586,1,3.9,0.827,0,0.0,0.000,1,2.2,0.545,1,2.0,0.719,1,0.0,0.000,1.29,1
418,1,A,A,Spatial,18,Pool,8/30/2023,2.3,0.542,0.238,0.909,1,2.3,0.542,0,0.0,0.000,0,0.0,0.000,0,0.0,0.000,1,0.0,0.000,0.11,1
419,2,A,A,Spatial,17,Pool,8/30/2023,15.8,5.544,0.351,0.105,2,2.3,0.840,2,5.6,1.860,1,3.7,1.448,1,4.1,1.395,1,0.0,0.000,9.41,1
420,2,A,A,Spatial,18,Pool,8/30/2023,60.0,16.864,0.281,0.065,7,22.4,6.640,5,16.2,4.798,1,3.6,1.166,3,17.7,4.261,0,0.0,0.000,31.38,0
